nombre;precio normal;precio oferta;marca;peso (kg);memoria interna;memoria ram;procesador;tipo procesador;camara frontal;camara posterior rango;camara posterior;capacidad de bateria;resolución de la pantalla;tamaño de pantalla rango;tamaño de la pantalla;sistema operativo rango;sistema operativo;compañia;resistente al agua;tipo de conector;conectividad;entrada de audio;bluetooth;tipo de pantalla;sim;cantidad de cámaras;lector de huella digital;zoom digital (x);usb;nfc;zona wi-fi;localizacion;chip de compañia incluido;flash;contrato;enfoque automatico;radio;formatos video;reproduce formato(s) de audio;velocidad cpu;bateria;garantia;tipo de producto;modelo;alto (cm);ancho (cm);largo (cm)
CELULAR SAMSUNG 6.5'' 48MP+2MP 3GB 32GB A03 NEGRO; ; ;SAMSUNG;211 g;32GB;3GB;;Octa-Core;5MP;;48MP + 2MP;;;Entre 4.5 a 4.9'';6.5;Android > a 5.0;;Desbloqueado;;;4G;;;;Single Chip;;;;Sí;;;;;Sí;Desbloqueado;No;No;Sí;Sí;1.6GHz, 1.6GHz;5000 mAh;1 año;Celulares y smartphones;A03;16.42;7.59;0.91
"CELULAR SAMSUNG GALAXY S21 FE 6.4"" 5G 128GB 6GB 12MP + 12MP + 8MP VERDE";S/ 2,899;S/ 2,499;SAMSUNG;177 g;128GB;6GB;EXYNOS;Octa-Core;32MP;Más de 10MP;12MP + 12MP + 8MP;4500 mAh;;"Entre 5.5 a 6.9 """;"6.4""";Android > a 5.0;Android 12;Desbloqueado;IP68;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;2.8GHz,2.4GHz,1.8GHz;4500 mAh;1 año;Celulares y Smartphones;SM-G990E;15.57;7.45;0.79
"CELULAR MOTOROLA MOTO EDGE 30 NEO 6"" 8GB 128MB 64MP + 13MP NEGRO";S/ 1,699;S/ 1,629;MOTOROLA;0.165;128GB;8GB;SNAPDRAGON;Snapdragon 695;32MP;Más de 10MP;64MP+13MP;4020mAh;;"Entre 5.5 a 6.9 """;6;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;5G;Sí;Sí;OLED;Single Chip;;Sí;Sí;No;Sí;Sí;Sí;;Sí;;Sí;No;1080p@30/60/120fps;MP3;2.4GHz;4020mAh;1 año;Celulares y Smartphones;EDGE 30 NEO ;15.29;7.12;0.775
"CELULAR MOTOROLA MOTO EDGE 30 NEO 6"" 8GB 128MB 64MP + 13MP VERDE";S/ 1,699;S/ 1,629;MOTOROLA;0.165;128GB;8GB;SNAPDRAGON;Snapdragon 695;32MP;Más de 10MP;64MP+13MP;4020mAh;;"Entre 5.5 a 6.9 """;6;Android > a 5.0;Android 12;Desbloqueado;No;USB-C;5G;Sí;Sí;OLED;Single Chip;;Sí;Sí;No;Sí;Sí;Sí;;Sí;;Sí;No;1080p@30/60/120fps;MP3;2.4GHz;4020mAh;1 año;Celulares y Smartphones;EDGE 30 NEO ;15.29;7.12;0.775
"CELULAR SAMSUNG GALAXY Z FOLD4 7.6"" 12GB 256GB 50MP + 12MP + 10MP BEIGE";S/ 6,799;S/ 6,599;SAMSUNG;0.263;256GB;12GB;Octa Core;Qualcomm | SM8475;4 MP;Más de 10MP;50 MP + 12 MP + 10 MP;4400 mAh;;"Entre 7 a 8""";"7.6""";Android > a 5.0;Android 12;Desbloqueado;IP68;USB-C;4G / Wi-Fi / USB / Bluetooth / NFC;No;Sí;Dynamic AMOLED 2X;Single Chip;;Sí;Sí;Sí;Sí;Sí;Sí;No;Sí;Desbloqueado;No;No;MP4,M4V,3GP,3G2,WMV,ASF,AVI,FLV,MKV,WEBM;MP3,M4A,3GA,AAC,OGG,OGA,WAV,WMA,AMR,AWB,FLAC,MID,MIDI,XMF,MXMF,IMY,RTTTL,RTX,OTA,DFF,DSF,APE;3.18GHz,2.7GHz,2GHz;4400mAh;1 año;Celulares y Smartphones;SM-F936B;15.51;13.01;0.63
"IPHONE 13 6.1"" 128GB 12MP + 12MP - AZUL";S/ 4,099;S/ 3,999;APPLE;173 g;128GB;;;;12MP;Más de 10MP;12MP;;;Entre 4.5 a 4.9'';6.1;iOS;;Desbloqueado;;;5G;;;;Single Chip;;;;No;;;;;Sí;;Sí;;;;;;1 año;Celulares y smartphones;iPhone 13;;;
"APPLE IPHONE 14 PLUS 6.7"" 256GB 12MP + 12MP ROJO";S/ 5,599;S/ 5,499;APPLE;0.203kg;256GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.7""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MQ573BE/A;16.08cm;7.81cm;0.78cm
IPHONE 13 6.1'' 128GB 12MP + 12MP VERDE;S/ 4,099;S/ 3,999;APPLE;173 g;128GB;;;Chip A15 Bionic;12MP;Más de 10MP;12MP + 12MP;;;"Entre 5.5 a 6.9 """;;iOS;;Desbloqueado;;;5G;;;Super Retina XDR;;;;;Sí;;;;No;;Desbloqueado;Sí;;Sí;Sí;;;1 año;Celulares y smartphones;iPhone 13;14.67 cm;7.15 cm;0.76 cm
"APPLE IPHONE 14 6.1"" 128GB 12MP + 12MP ROJO";S/ 4,499;S/ 4,349;APPLE;0.172kg;128GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.1""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MPVA3BE/A;14.67cm;7.15cm;0.78cm
"APPLE IPHONE 14 PLUS 6.7"" 128GB 12MP + 12MP MORADO";S/ 4,999;S/ 4,899;APPLE;0.203kg;128GB;No aplica;A15 Bionic;Apple Chip A15 Bionic;12MP;Más de 10MP;12 MP + 12 MP;-;;"Entre 5.5 a 6.9 """;"6.7""";iOS > 10;iOS 16;Desbloqueado;IP68;USB-C;;Sí;Sí;Super Retina XDR;Doble Chip;;No;;No;;;;;Sí;;Sí;No;Grabación de vídeo en formato HEVC y H.264;Formatos compatibles: AAC, MP3, Apple Lossless, FLAC, Dolby Digital, Dolby Digital Plus y Dolby Atmos (entre otros);CPU de 6 núcleos (2 de rendimiento y 4 de eficiencia);;1 año;Celulares y Smartphones;MQ503BE/A;16.08cm;7.81cm;0.78cm
